Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Column 1,Column 2
Flathead County Democratic Central Committee,10/01/2025 to 12/31/2025,C6,2025-10-26 0:00:00,kelly diane,Kelly,,Diane,68 Blondie Ct Unit A,Kalispell,MT,59901,,300,2,"Entertainment, Live Music - Harvest Dinner 2025",,GN,,,,N,,,,,,,,,
Flathead County Democratic Central Committee,10/01/2025 to 12/31/2025,C6,2025-10-26 0:00:00,,Lynn,R,Stanley,838 2nd Ave E,Kalispell,MT,59901,,225,2,Winning payout from Harvest Dinner 50/50,,GN,,,,N,,,,,,,,,
Flathead County Democratic Central Committee,10/01/2025 to 12/31/2025,C6,2025-10-24 0:00:00,Tamarack Insurance Group,,,,185 Commons Loop Suit C,Kalispell MT,MT,59901,,237,2,"Insurance certificate for Harvest Dinner, 2025",,GN,,,,N,,,,,,,,,
Flathead County Democratic Central Committee,10/01/2025 to 12/31/2025,C6,2025-10-24 0:00:00,Walmart Kalispell,,,,170 Hutton Ranch Rd,Kalispell,MT,59901,,44.21,2,Office Supplies - name cards and card stock.,,GN,,,,N,,,,,,,,,
Flathead County Democratic Central Committee,10/01/2025 to 12/31/2025,C6,2025-10-22 0:00:00,Act Blue,,,,PO Box 441146,Somerville,MA,2144,,0.6,2,CC processing fee for a $10 contribution,,GN,,,,N,,,,,,,,,
Flathead County Democratic Central Committee,10/01/2025 to 12/31/2025,C6,2025-10-21 0:00:00,Glacier Park VFW,,,,330 First Ave. E.,Kalispell,MT,59901,,600,2,Bartending Deposit - Harvest Dinner,,GN,,,,N,,,,,,,,,
Flathead County Democratic Central Committee,10/01/2025 to 12/31/2025,C6,2025-10-21 0:00:00,Glacier Park VFW,,,,330 First Ave. E.,Kalispell,MT,59901,,100,2,Rental - Meeting Room - October 2025 central committee.,,GN,,,,N,,,,,,,,,
Flathead County Democratic Central Committee,10/01/2025 to 12/31/2025,C6,2025-10-02 0:00:00,Paragon Payment Solution,,,,"2141 East Broadway Road, Ste 202",Tempe,AZ,85282,,331.67,2,Fee to process credit card transactions through NGP/VAN for September,,GN,,,,N,,,,,,,,,
Flathead County Democratic Women,01/06/2026 to 03/24/2026,C6,2026-03-23 0:00:00,,Jill,,Mueth,110 Wakewood Dr,Kalispell,MT,59901,,17.6,2,copies for March meeting,,GN,,,,N,,,,,,,,,
Flathead County Democratic Women,01/06/2026 to 03/24/2026,C6,2026-03-10 0:00:00,USPS,,,,248 1st Ave W,Kalispell,MT,59901,,196,2,PO Box rent,,GN,,1 year,,N,,,,,,,,,
Flathead County Democratic Women,01/06/2026 to 03/24/2026,C6,2026-02-25 0:00:00,,Jill,,Mueth,110 Wakewood Dr,Kalispell,MT,59901,,20.4,2,80 copies for Feb 26 meeting,,GN,,,,Y,,,,,,,,,
Flathead County Democratic Women,01/06/2026 to 03/24/2026,C6,2026-02-23 0:00:00,Staples,,,,1290 Hwy 2 E,Kalispell,MT,59901,,35.98,2,"4x6 card storage box, name badge holders",,GN,,,,Y,,,,,,,,,
Flathead County Democratic Women,01/06/2026 to 03/24/2026,C6,2026-02-23 0:00:00,Northwest Montana History Museum,,,,124 2nd Ave. E.,Kalispell,MT,59901,,1312.5,2,room rent for 2026,,GN,,,,Y,,,,,,,,,
Flathead County Democratic Women,01/06/2026 to 03/24/2026,C6,2026-01-28 0:00:00,,Jill,,Mueth,110 Wakewood Dr,Kalispell,MT,59901,,40.8,2,copies for the January meeting,,GN,,90 pages,,Y,,,,,,,,,
Flathead County Democratic Women,01/06/2026 to 03/24/2026,C6,2026-01-20 0:00:00,Namecheap,,,,4600 East wshington St Suite 305,Phoenix,AZ,85034,,41.88,2,web hosting,,GN,,,,N,,,,,,,,,
Flathead County Democratic Women,10/06/2025 to 01/05/2026,C6,2025-12-16 0:00:00,,Dee,,Fleming,"24 Diane Road, Apt. F",Columbia Falls,MT,59912,,100,2,Piano playing at the holiday party,,GN,,,,N,,,,,,,,,
Flathead County Democratic Women,10/06/2025 to 01/05/2026,C6,2025-11-23 0:00:00,Northwest Montana History Museum,,,,124 2nd Ave. E.,Kalispell,MT,59901,,700,2,Balance for room rental cost for 2025,,GN,,,,Y,,,,,,,,,
Flathead County Democratic Women,10/06/2025 to 01/05/2026,C6,2025-11-23 0:00:00,,Jill,,Mueth,110 Wakewood Dr,Kalispell,MT,59901,,43.8,2,"Reimbursement for copies made at Staples, 1290 Hwy 2 E, Kalispell",,GN,,,,Y,,,,,,,,,
Flathead County Democratic Women,10/06/2025 to 01/05/2026,C6,2025-11-17 0:00:00,Northwest Montana History Museum,,,,124 2nd Ave. E.,Kalispell,MT,59901,,175,2,Additional room rent for the October 2025 meeting,,GN,,,,Y,,,,,,,,,
Flathead County Republican Central Committee,04/26/2026 to 05/24/2026,C6,2026-05-15 0:00:00,,Dan,,Wilson,PO Box 1598,Helena,MT,59624,,2500,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,04/26/2026 to 05/24/2026,C6,2026-05-15 0:00:00,Montana Republican State Cenntral Cmte,,,,PO Box 935,Helena,MT,59624,,600,2,Four Registrations for MTGOP Convention  - $150 each registration,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,04/26/2026 to 05/24/2026,C6,2026-05-11 0:00:00,Glacier Country Pachyderm Club,,,,PO Box 2806,Kalispell,MT,59903,,100,2,contribution for reimbursement for advertising Candidates Forum on Bee Broadcasting,,PM,Bee Broadcasting,,,N,,,,,,,,,
Flathead County Republican Central Committee,04/26/2026 to 05/24/2026,C6,2026-05-09 0:00:00,Mailchimp,,,,"405 N. Angier Avenue, NE",Atlanta,GA,30308,,71,2,MailChimp monthly subscription fee.,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,04/26/2026 to 05/24/2026,C6,2026-05-08 0:00:00,Utmost Graphics,,,Utmost Graphics,1376 Shelter Ridge,Kalispell,MT,59901,,1835.2,2,"Designing, printing, file fee, Bulk mailing for four precincts  # 40  # 41  # 43  # 46",,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,04/26/2026 to 05/24/2026,C6,2026-05-08 0:00:00,USPS,,,,350 N Meridian Road,Kalispell,MT,59901,,1061.01,2,Bulk mailing permit - mailing postcards and mailers -  Precinct # 40 - Precinct # 41  - Precinct # 43 - Precinct # 46,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,04/26/2026 to 05/24/2026,C6,2026-05-07 0:00:00,Flathead Valley Community College,,,,777 Grandview Dr.,Kalispell,MT,59901,,250,2,Room rental,,PM,,Room # 139 - Paid 1/3rd of the total room rental for a Candidate Forum.,,N,,,,,,,,,
Flathead County Republican Central Committee,04/26/2026 to 05/24/2026,C6,2026-05-07 0:00:00,Kalispell Copy,,,,2303 Hwy. 2 East,Kalispell,MT,59901,,171.25,3,Printing voter guides,"Dr. Al Olszewski, Dr. Annie Bukacek, Evie Cahalen, Brad Abell, Cheryl Hohman, Steve Gunderson, below",PM,"Amy Regier, Mark Noland, Tom Millett, Cathy Mitchell, Shaun Pandina, Braxton Mitchell, Jim Riley, Luke Maxwell, Lukas Schubert, Steve Kelly, Terry Falk, Ed Byrne, Tracy Sharp, Dan Wilson, ",500,,N,,,,,,,,,
Flathead County Republican Central Committee,04/26/2026 to 05/24/2026,C6,2026-05-02 0:00:00,"Click Here Designs, LLC",Kathryn,L,Johnson,314 First St. E.,Polson,MT,59860,,125,2,software development/renew license fee,,PM,,annual fee,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-04-10 0:00:00,,Cheryl,,Hohman,P O Box 1453,Columbia Falls,MT,59912,,2000,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-04-09 0:00:00,Mailchimp,,,,"405 N. Angier Avenue, NE",Atlanta,GA,30308,,63,2,Monthly MailChimp subscription fee.,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-04-01 0:00:00,"Click Here Designs, LLC",Kathryn,L,Johnson,314 First St. E.,Polson,MT,59860,,483.88,2,Email Box    Domain Hosting    -    Domain Registration,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Steve,,Gunderson,167 Skyline Road,Libby,MT,59923,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Ed,,Byrne,628 Lake Blaine Road,Creston,MT,59901,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Tracy,,Sharp,P.O. Box 548,Polson,MT,59860,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Braxton,M,Mitchell,P.O. Box 1765,Columbia Falls,MT,59912,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Luke,,Maxwell,PO Box 1233,Kalispell,MT,59903,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Mark,,Noland,PO Box 1852,Big Fork,MT,59911,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Cathy,,Mitchell,PO Box 161,Whitefish,MT,59937,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Shaun,,Pandina,PO Box 2433,Columbia Falls,MT,59912,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Annie,,Bukacek,PO Box 8975,Kalispell,MT,59904,,5000,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Evie,,Cahalen,PO Box 1233,Marion,MT,59925,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Terry,,Falk,PO Box 9484,Kalispell,MT,59901,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Amy,,REGIER,PO Box 10466,Kalispell,MT,59904,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Jim,L,Riley,58 Morning View Way,Kalispell,MT,59901,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Tom,,Millett,PO Box 1075,Marion,MT,59925,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Steve,,Kelly,PO Box 2146,Kalispell,MT,59903,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Lukas,,Schubert,175 Hutton Ranch Rd STE 103 PMB 102,Kalispell,MT,59901,,2350,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/26/2026 to 04/25/2026,C6,2026-03-27 0:00:00,,Al,,Olszewski,PO Box 1585,Helena,MT,59624,,5000,2,CANDIDATE CONTRIBUTION,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/16/2026 to 03/25/2026,C6,2026-03-20 0:00:00,Sykes,,,,202 2nd Ave W,Kalispell,MT,59901,,50,2,Meeting room rental,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,03/16/2026 to 03/25/2026,C6,2026-03-18 0:00:00,Utmost Graphics,,,Utmost Graphics,1376 Shelter Ridge,Kalispell,MT,59901,,729.96,2,"Printing paper tickets for LRT Dinner - all printing of posters, programs, labels, signs, outlines, wristbands, photo shoot cost, ",,PM,,325 red wristbands,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-03-12 0:00:00,Little Caesars,,,,284 N Meridian Rd,Kalispell,MT,59901,,150.87,2,Pizza for 3 12 26 meeting,,PM,,13 pizzas,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-03-09 0:00:00,Mailchimp,,,,"405 N. Angier Avenue, NE",Atlanta,GA,30308,,63,2,EMAIL SERVICE - monthly fee,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-03-09 0:00:00,Memories in Bloom,,,Memories in Bloom,380 Bachelor Grade,Kailspell,MT,59901,,111,2,LRT Dinner Flowers,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-03-04 0:00:00,,Teresa,,Frawley,66 Trails End Drive,Kalispell,MT,59901,,122.93,2,reimbursement for decoration for LRT Dinner,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-03-04 0:00:00,Security Storage,,,Security Storage,95 Milky Way,Kalispell,MT,59904,,500,2,Rent for Storage Unit for one year,,PM,,,March 2026 to March 2027,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-02-24 0:00:00,glacier peak productions,,,Gacier Peak Productions,421 Bierney Creek Road,Lake Side,MT,59922,,1350,2,LRT Dinner Sound Crew and Equipment,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-02-24 0:00:00,NW Montana Fair & Rodeo,,,NW Montana Fair and Rodeo,265 N Meridian RD,Kalispell,MT,59901,,960,2,Fair Exhibit Space for 2026 Flathead County Fair,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-02-11 0:00:00,,Ann,,Ingram,607 Sylvan Crt,Kalispell,MT,59901,,24.95,2,reimbursement for decorations for LRT Dinner 2026,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-02-10 0:00:00,Bee Broadcasting Inc,,,Bee Broadcasting Inc.,P O Box 5409,Kalispell,MT,59903,,450,2,ADVERTISING - Lincoln Reagan  Trump Dinner,,PM,KJJR Radio,1/26/2026 to 1/30/2026,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-02-09 0:00:00,Mailchimp,,,,"405 N. Angier Avenue, NE",Atlanta,GA,30308,,54,2,MONTHLY EMAIL service fee.,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-02-06 0:00:00,Hilton Garden Inn,,,,1840 Hwy 93 S,Kalispell,MT,59901,,16340,2,Rent Glacier Ballroom and the cost of the dinner buffet and all costs,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-01-30 0:00:00,first interstate bank,,,First Interstate Bank,P O Box 241826,Omaha,NE,68124,,30,2,purchase six money bags,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-01-30 0:00:00,,Cathy,,Mitchell,598 Prairie View,Kalispell,MT,59901,,437.36,2,Reimbursement for materials for LRT Dinner,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-01-22 0:00:00,Montana Trader,,,,,,,,,153,2,3 X 4 DISPLAY ADD,,PM,MONTANA TRADER,,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-01-09 0:00:00,Mailchimp,,,,"405 N. Angier Avenue, NE",Atlanta,GA,30308,,63,2,MONTHLY EMAIL service fee.,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-01-04 0:00:00,Post office,,,,350 n merdian rd,kalipsell,MT,59901,,244,2,ANNUAL FEE RENEWAL OF POST OFFICE BOX,,PM,,12 months,,N,,,,,,,,,
Flathead County Republican Central Committee,01/01/2026 to 03/15/2026,C6,2026-01-04 0:00:00,Sykes,,,,202 2nd Ave W,Kalispell,MT,59901,,1200,2,Annual Meeting Room Rental,,PM,,12 months,,N,,,,,,,,,
Flathead County Republican Central Committee,10/01/2025 to 12/31/2025,C6,2025-12-24 0:00:00,Harland Clarke,,,,15955 La Cantera Parkway,San Antonio,TX,78256,,40.8,2,Order 60 checks - puchased,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,10/01/2025 to 12/31/2025,C6,2025-12-09 0:00:00,Mailchimp,,,,"405 N. Angier Avenue, NE",Atlanta,GA,30308,,80,2,Monthly Email/Database management charges,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,10/01/2025 to 12/31/2025,C6,2025-12-05 0:00:00,,Deborah,M,Wilson,P O Box 399,Kila,MT,59920,,12.49,2,Purchase bowls for Chili Cookoff from Costco - reimbursement of CC charge,,PM,,135 paper bowls,,N,,,,,,,,,
Flathead County Republican Central Committee,10/01/2025 to 12/31/2025,C6,2025-11-19 0:00:00,Hilton Garden Inn,,,,1840 Hwy 93 S,Kalispell,MT,59901,,1800,2,Deposit to hold space at Hilton Garden Inn for LRT dinner,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,10/01/2025 to 12/31/2025,C6,2025-11-09 0:00:00,MAILCHIMP,,,,405 N ANGIER AVE,ATLANTA,GA,30308,,80,2,Email Service,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,10/01/2025 to 12/31/2025,C6,2025-11-01 0:00:00,Cabela's,,,,125 Treeline Road,Kalispell,MT,59901,,47.99,2,wagon for special events,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,10/01/2025 to 12/31/2025,C6,2025-10-15 0:00:00,,Todd,,Bernhardt,158 Arbour Dt,KALISPELL,MT,59901,,136.23,2,reimbursement for clear door hangers,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,10/01/2025 to 12/31/2025,C6,2025-10-15 0:00:00,,Kyle,R,Voigtlander,840 4th Street West,Kalispell,MT,59901,,200,2,contribution to Kyle for Montana. Running for Kalispell City Council,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,10/01/2025 to 12/31/2025,C6,2025-10-14 0:00:00,Kalcopy,,,Kalcopy,2303 HWY 2 East,Kalispell,MT,59901,,393.75,2,Flyers to support candidate for the Mayors race in Kalispell MT for Kisa Davison,,PM,,1500 fliers,,N,,,,,,,,,
Flathead County Republican Central Committee,10/01/2025 to 12/31/2025,C6,2025-10-09 0:00:00,Mailchimp,,,,405 N Angier Ave NE,Atlanta,GA,30312,,80,2,E-Mail Service,,PM,,,,N,,,,,,,,,
Flathead County Republican Central Committee,10/01/2025 to 12/31/2025,C6,2025-10-07 0:00:00,State Farm Insurance,,,,2129 Hwy. 2 East,Kalispell,MT,59901,,317,2,Liability Insurance,,PM,,,,N,,,,,,,,,
Flathead County Republican Women,03/26/2026 to 04/25/2026,C6,2026-04-09 0:00:00,State Farm Insurance,,,,475 N Main St,Kalispell,MT,59901,,48.37,2,Insurance payment for Promotions Trailer,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,03/26/2026 to 04/25/2026,C6,2026-04-09 0:00:00,Montana Federation of Republican Women,,,,PO Box 393,Lakeside,MT,59922,,82.5,2,"Member dues Jan 1 - Dec 31, 2026",,GN,,,,N,,,,,,,,,
Flathead County Republican Women,03/26/2026 to 04/25/2026,C6,2026-04-06 0:00:00,Red Lion Hotel Kalispell,,,,20 N. Main St.,Kalispell,MT,59901,,339.85,2,"Meeting room charge, $200.00; meal costs $139.85",,GN,,,,N,,,,,,,,,
Flathead County Republican Women,03/26/2026 to 04/25/2026,C6,2026-04-06 0:00:00,Constant Contact,,,,"1601 Trapulo Road, Suite 329",Waltham,MA,2451,,26,2,Fee for newsletter mailings,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,03/26/2026 to 04/25/2026,C6,2026-04-06 0:00:00,Treweek Storage,,,,3220 Highway 93 South,Kalispell,MT,59901,,35,2,monthly rental for a storage unit,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-03-16 0:00:00,PGS Publishing,,,,PO Box 9953,Kalispell,MT,59904,,210,2,Purchased books (35) for fundraising.,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-03-13 0:00:00,Flathead County Republican Central Committee,,,,P.O. Box 8865,Kalispell,MT,59904,,600,2,"Half of the proceeds from the Dessert Dash at the LRT Dinner.  Donation received March 12, 2026.",,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-03-06 0:00:00,Amazon,,,,440 Terry Ave North,Seattle,WA,98109,,69.99,2,Large Raffle Drum for fundraising.,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-03-06 0:00:00,Treweek Storage,,,,3220 Highway 93 South,Kalispell,MT,59901,,35,2,Monthly rent for storage unit,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-03-03 0:00:00,Constant Contact,,,,"1601 Trapulo Road, Suite 329",Waltham,MA,2451,,26,2,Monthly fee for newsletter mailing,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-03-02 0:00:00,Utmost Graphics,,,,PO Box 9726,Kalispell,MT,59904,,25,2,Annual Domain name renewal,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-03-02 0:00:00,Montana Federation of Republican Women,,,,PO Box 393,Lakeside,MT,59922,,82.5,2,"Member dues Jan 1 - Dec 31, 2026",,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-03-02 0:00:00,,Sue,,Votapka,40 Leah Ann Lane,Kalispell,MT,59901,,60,2,Reimbursement fo Dessert Dash expenses.,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-02-17 0:00:00,PayPal,,,,2211 N 1st St,San Jose,CA,95131,,12.11,2,Service Fee,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-02-17 0:00:00,Red Lion Hotel Kalispell,,,,20 N. Main St.,Kalispell,MT,59901,,470.67,2,"Meeting room charge, $100.00; lunch costs, $370.67",,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-02-17 0:00:00,Flathead County Republican Central Committee,,,,P.O. Box 8865,Kalispell,MT,59904,,3321.5,2,Half of the proceeds from the Dessert Dash - LRT Dinner 2/13/26.,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-02-17 0:00:00,Flathead County Republican Central Committee,,,,P.O. Box 8865,Kalispell,MT,59904,,415,2,Half of the proceeds from gun raffle sales - LRT Dinner 2/13/26,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-02-17 0:00:00,Montana Federation of Republican Women,,,,PO Box 393,Lakeside,MT,59922,,302.5,2,"Member dues, Jan 1 - Dec 31, 2026",,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-02-06 0:00:00,Treweek Storage,,,,3220 Highway 93 South,Kalispell,MT,59901,,35,2,Monthly rental fee for  storage unit,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-02-03 0:00:00,Constant Contact,,,,"1601 Trapulo Road, Suite 329",Waltham,MA,2451,,26,2,Monthly fee for newsletter mailing,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-01-20 0:00:00,Montana Federation of Republican Women,,,,PO Box 393,Lakeside,MT,59922,,1290,2,Membership dues 1/01/26-12/31/2026. ($1265.00)  Annual Service Charge $(25.00),,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-01-19 0:00:00,,Jamie,,Frett,PO Box 1131,Kalispell,MT,59904,,10.6,2,Reimburse for printing information for the monthly meeting,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-01-19 0:00:00,Red Lion Hotel Kalispell,,,,20 N. Main St.,Kalispell,MT,59901,,257.2,2,"Meeting room charge ($100), meal costs ($157.20)",,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-01-06 0:00:00,Treweek Storage,,,,3220 Highway 93 South,Kalispell,MT,59901,,35,2,Monthly rental fee for storage unit,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,01/01/2026 to 03/25/2026,C6,2026-01-05 0:00:00,Constant Contact,,,,"1601 Trapulo Road, Suite 329",Waltham,MA,2451,,26,2,Monthly fee for newsletter mailing,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,10/01/2025 to 12/31/2025,C6,2025-12-31 0:00:00,,Heidi,,Roedel,PO Box 9726,Helena,MT,59601,,100,2,Reimburse for a member's registration for the GOP Winter Kickoff,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,10/01/2025 to 12/31/2025,C6,2025-12-31 0:00:00,,Evelyn,,Cahalen,PO Box 1233,Marion,MT,59925,,163.19,2,Reimburse for  registration and sleep room charges for the GOP Winter Kickoff,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,10/01/2025 to 12/31/2025,C6,2025-12-30 0:00:00,MT GOP,,,,P.O. Box 935,Helena,MT,59624,,100,2,Registration for a member to attend the Winter Kickoff,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,10/01/2025 to 12/31/2025,C6,2025-12-15 0:00:00,Red Lion Hotel Kalispell,,,,20 N. Main St.,Kalispell,MT,59901,,515.8,2,"Meeting room cost, $100.00; meal cost, $415.80",,GN,,,,N,,,,,,,,,
Flathead County Republican Women,10/01/2025 to 12/31/2025,C6,2025-12-08 0:00:00,Treweek Storage,,,,3220 Highway 93 South,Kalispell,MT,59901,,35,2,Monthly rent for storage unit,,GN,,,,N,,,,,,,,,
Flathead County Republican Women,10/01/2025 to 12/31/2025,C6,2025-12-05 0:00:00,Red Lion Hotel Kalispell,,,,20 N. Main St.,Kalispell,MT,59901,,25,2,"Meeting room costs less lunch receipts, November meeting",,GN,,,,N,,,,,,,,,
